# UTC timestamp | version | commit | user | host | backup
2026-02-13T10:57:06Z | 0.1.0 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-105211.dump
2026-02-13T12:10:43Z | 0.1.0 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-120519.dump
2026-02-13T12:32:22Z | 0.1.0 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-122632.dump
2026-02-13T12:49:53Z | 0.1.1 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-124444.dump
2026-02-13T13:03:39Z | 0.1.2 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-125714.dump
2026-02-13T13:13:42Z | 0.1.3 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-130737.dump
2026-02-13T13:31:33Z | 0.1.4 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-132615.dump
2026-02-13T13:54:48Z | 0.1.5 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-134925.dump
2026-02-13T14:52:43Z | 0.1.6 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-144758.dump
2026-02-13T15:05:15Z | 0.1.7 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-145956.dump
2026-02-13T15:47:04Z | 0.1.9 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-153847.dump
2026-02-13T16:17:43Z | 0.1.10 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-161247.dump
2026-02-13T20:44:01Z | 0.1.11 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-203849.dump
2026-02-13T21:14:03Z | 0.1.12 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-210849.dump
2026-02-13T21:21:49Z | 0.1.13 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-211702.dump
2026-02-13T22:12:44Z | 0.1.14 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-220716.dump
2026-02-13T22:24:28Z | 0.1.15 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-221939.dump
2026-02-13T23:01:47Z | 0.1.16 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260213-225739.dump
2026-02-14T08:41:56Z | 0.1.17 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260214-083649.dump
2026-02-14T09:25:34Z | 0.1.18 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260214-092107.dump
2026-02-14T10:45:29Z | 0.1.19 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260214-104100.dump
2026-02-14T11:31:24Z | 0.1.20 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260214-112322.dump
2026-02-14T12:07:35Z | 0.1.21 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260214-120245.dump
2026-02-14T12:39:58Z | 0.1.22 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260214-123350.dump
2026-02-14T13:08:02Z | 0.1.23 | n/a | root | msk-1-vm-5fd4 | infra/backups/pre-migrate-20260214-130207.dump
